date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:30:44	162811/162811	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Aug%202021%2010:13:11%20GMT	http://koylakebab.thedesigncircle.in/img/image/5.jpeg	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/img/image/5.jpg	(from http://koylakebab.thedesigncircle.in/)
00:30:52	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from http://koylakebab.thedesigncircle.in/)
00:30:53	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Sep%202021%2019:05:34%20GMT	http://koylakebab.thedesigncircle.in/font/Lato-Medium.svg	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/font/Lato-Medium.16.delayed	(from http://koylakebab.thedesigncircle.in/css/fonts.css)
00:31:12	115664/115664	---M--	200	added ('OK')	font/ttf	date:Tue,%2016%20Nov%202010%2018:30:00%20GMT	http://koylakebab.thedesigncircle.in/font/JosefinSans-VariableFont_wght.ttf	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/font/JosefinSans-VariableFont_wght.ttf	(from http://koylakebab.thedesigncircle.in/css/fonts.css)
00:32:03	559096/559096	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Apr%202017%2015:43:00%20GMT	http://koylakebab.thedesigncircle.in/font/Lato-Medium.woff	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/font/Lato-Medium.woff	(from http://koylakebab.thedesigncircle.in/css/fonts.css)
00:33:07	945681/945681	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Apr%202017%2015:40:00%20GMT	http://koylakebab.thedesigncircle.in/font/fontello.svg?46579446	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/font/fontellob69f.svg	(from http://koylakebab.thedesigncircle.in/css/fonts.css)
00:33:37	382592/382592	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Apr%202017%2015:41:00%20GMT	http://koylakebab.thedesigncircle.in/font/fontello.woff?46579446	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/font/fontellob69f.woff	(from http://koylakebab.thedesigncircle.in/css/fonts.css)
00:33:55	643136/643136	---M--	200	added ('OK')	font/ttf	date:Tue,%2004%20Apr%202017%2015:40:00%20GMT	http://koylakebab.thedesigncircle.in/font/fontello.ttf?46579446	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/font/fontellob69f.ttf	(from http://koylakebab.thedesigncircle.in/css/fonts.css)
00:34:27	643304/643304	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202017%2015:39:00%20GMT	http://koylakebab.thedesigncircle.in/font/fontello.eot?46579446	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/font/fontellob69f.eot	(from http://koylakebab.thedesigncircle.in/css/fonts.css)
00:34:42	302296/302296	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Apr%202017%2015:41:00%20GMT	http://koylakebab.thedesigncircle.in/font/fontello.woff2?46579446	D:/madhav%20-%20manuscript/Tanvi/Koyla/koyla1/koylakebab.thedesigncircle.in/font/fontellob69f.woff2	(from http://koylakebab.thedesigncircle.in/css/fonts.css)
